chlorides,density,pH,sulphates,acid,residual sugar,alcohol,bound sulfur dioxide,quality,type
0.047,0.991,3.01,0.76,8.76,4.2,12.3,93,6,white
0.063,0.9969,3.09,0.63,8.92,8.8,9.2,145,6,white
0.059,0.9967,3.12,0.47,9,10.3,10,71,6,white
0.051,0.9944,3.13,0.39,8.58,12.4,11.5,31,6,white
0.05,0.9929,3.08,0.6,7.64,2.2,9.8,93,6,white
0.04,0.9948,3.19,0.69,7.6,5.2,9.4,135,6,white
0.047,0.9933,3.13,0.5,9.24,1.8,10.2,138,6,white
0.047,0.9933,3.13,0.5,9.24,1.8,10.2,140,6,white
0.056,0.9947,3.13,0.35,8.34,6.4,10.1,124,6,white
0.042,0.9954,2.86,0.36,8.32,10.7,9.7,55,6,white
0.042,0.9954,2.86,0.36,8.32,10.7,9.7,55,6,white
0.049,0.9963,3.13,0.48,8.52,7.9,8.9,119,6,white
0.04,0.995,3.19,0.58,8.12,5.8,9.5,111,6,white
0.037,0.992,3.32,0.49,8.44,1.2,10.9,71,6,white
0.034,0.9928,3.17,0.44,8.32,4.9,10.8,101,6,white
0.18,0.9937,3.11,0.54,8,1.4,9.4,124,6,white
0.045,0.9914,2.88,0.38,8.48,1.4,10.8,75,6,white
0.052,0.9924,2.99,0.61,7.8,1.5,9.8,100,6,white
0.052,0.9924,2.99,0.61,7.8,1.5,9.8,100,6,white
0.061,0.9965,3.48,0.69,8.84,5.7,10.7,82,6,white
0.032,0.992,3.09,0.39,8.68,4.3,11.1,86,6,white
0.051,0.9928,3.23,0.5,8.86,1.9,10.9,143,6,white
0.051,0.9928,3.23,0.5,8.72,1.8,10.8,138,6,white
0.057,0.993,3.12,0.5,8.38,1.4,9.6,102,6,white
0.043,0.9937,3.36,0.6,6.18,6.6,10.4,119,6,white
0.048,0.9957,3.23,0.62,8.12,6.2,9.4,197,6,white
0.048,0.9957,3.23,0.62,8.12,6.2,9.4,197,6,white
0.036,0.9916,3.18,0.6,7.08,1.2,10.5,76,6,white
0.04,0.9936,3.26,0.64,8.04,4.8,10.7,115,6,white
0.033,0.9933,3.43,0.49,7,4.5,10.9,104,6,white
0.027,0.9934,3.49,0.51,6.68,4.5,10.8,106,6,white
0.046,0.9971,3.36,0.5,7.38,13.9,10.4,111,6,white
0.05,0.9973,3.16,0.37,8.29,12.2,9,89,6,white
0.053,0.9972,3.34,0.45,6.9,12.3,9.5,100,6,white
0.03,0.992,3.11,0.42,8.94,5.3,12.2,87,6,white
0.028,0.9932,3.04,0.4,10.24,4.9,11.3,68,6,white
0.052,0.9958,3.35,0.52,8.2,7.4,9.6,133,6,white
0.036,0.9908,3.35,0.72,7.98,1.7,12.5,157,6,white
0.052,0.9958,3.35,0.52,8.2,7.4,9.6,133,6,white
0.047,0.9925,3.35,0.46,6.88,1.3,10,136,6,white
0.058,0.9972,3.14,0.55,9.16,9.2,9.3,165,6,white
0.038,0.9912,3.29,0.57,7.88,1.7,11.6,79,6,white
0.038,0.9928,3.36,0.63,7.92,2.1,10.6,112,6,white
0.056,0.9955,3.19,0.4,7.16,6.9,9.1,157,6,white
0.057,0.9981,3.23,0.41,6.98,12,9,176,6,white
0.052,0.997,3.24,0.44,6.9,11.3,9.5,135,6,white
0.044,0.9972,3.14,0.5,8.36,10.7,9.1,161,6,white
0.037,0.9944,3.17,0.62,7.14,6.4,9.9,162,6,white
0.041,0.9997,3.16,0.66,9.34,17.5,9.5,174,6,white
0.022,0.9912,3.23,0.57,7.76,1,11.1,72,6,white
0.038,0.9917,3.12,0.42,7.62,1.1,10.5,80,6,white
0.037,0.9904,3.42,0.5,6.62,3.6,12.6,97,6,white
0.046,0.9943,3.13,0.62,8.46,4.4,11.2,109,6,white
0.05,0.99855,3.11,0.48,8.98,13.9,10,86,6,white
0.035,0.9916,3.1,0.5,9.6,1.6,12.3,97,6,white
0.035,0.9916,3.1,0.5,9.6,1.6,12.3,97,6,white
0.038,0.99325,3.41,0.5,7.3,2.7,10.8,148,6,white
0.048,0.9969,3.06,0.61,9.16,9.2,9.2,199,6,white
0.032,0.9917,3.37,0.47,8.2,1.6,11.7,105,6,white
0.042,0.99695,3.35,0.56,7.62,13.8,10.4,114,6,white
0.044,0.99655,3.25,0.47,7.66,10,9.5,162,6,white
0.052,0.998,3.02,0.5,7.7,14.4,9.1,143,6,white
0.038,0.9948,3.14,0.49,7.5,5.5,9.6,114,6,white
0.052,0.998,3.02,0.5,7.7,14.4,9.1,143,6,white
0.038,0.9948,3.14,0.49,7.5,5.5,9.6,114,6,white
0.031,0.99115,3.44,0.55,6.8,1.5,11,36,6,white
0.03,0.9932,3.28,0.61,8.14,2,10.2,110,6,white
0.022,0.99165,3.26,0.55,11.12,2.1,12.2,79,6,white
0.033,0.9953,3.22,0.56,8.1,8.5,10.5,222,6,white
0.024,0.9928,3.04,0.32,8.58,7.6,11.5,121,6,white
0.049,0.9958,3.3,0.54,8.02,8.1,9.8,132,6,white
0.025,0.9928,3.04,0.32,8.74,7.35,11.4,124,6,white
0.024,0.9928,3.04,0.32,8.58,7.6,11.5,121,6,white
0.036,0.9964,3.15,0.55,8.3,10,10.2,89,6,white
0.038,0.9987,3.16,0.5,7.94,14,9.4,77,6,white
0.033,0.9953,3.22,0.56,8.1,8.5,10.5,222,6,white
0.051,0.99935,3.4,0.85,7.98,15.2,9.3,110,6,white
0.049,0.9958,3.3,0.54,8.02,8.1,9.8,132,6,white
0.05,0.99585,3.3,0.54,8.16,8.1,9.8,131,6,white
0.039,0.9985,3.37,0.57,5.96,18.6,10.2,90,6,white
0.042,0.99505,3.22,0.69,7.46,5,9.5,132,6,white
0.05,0.992,2.94,0.46,8.58,1.6,11,100,6,white
0.028,0.99175,3.21,0.6,7.92,1.6,10.9,39,6,white
0.115,0.9918,3.24,0.58,7.81,2.2,12.1,75,6,white
0.039,0.99215,3.02,0.56,9.48,1.5,11,80,6,white
0.056,0.99715,3.08,0.61,8.82,9.5,9.3,169,6,white
0.039,0.99815,3.27,0.3,8.74,10.6,9.3,88,6,white
0.04,0.99815,3.27,0.29,8.94,11,9.2,86,6,white
0.04,0.99815,3.27,0.29,8.94,11,9.2,86,6,white
0.039,0.99815,3.27,0.3,8.74,10.6,9.3,88,6,white
0.04,0.99815,3.27,0.29,8.94,11,9.2,86,6,white
0.054,0.9971,3.02,0.58,9.1,8.8,9.2,173,6,white
0.046,0.9983,3.28,0.77,8.04,12.5,9.6,106,6,white
0.041,0.99445,3.42,0.4,6.24,4.8,9.4,83,6,white
0.036,0.9977,3.06,0.41,9.5,11.2,8.9,117,6,white
0.032,0.99505,3.22,0.46,8.62,6.6,9.8,88,6,white
0.036,0.9977,3.06,0.41,9.5,11.2,8.9,117,6,white
0.046,0.99745,3.16,0.41,7.3,13.1,9.6,149,6,white
0.046,0.9976,3.15,0.38,7.12,12,9,181,6,white
0.046,0.99775,3.17,0.43,7.32,13.4,9.5,149,6,white
0.063,0.9932,3.21,0.56,6.92,1.5,9.2,103,6,white
0.045,1,3.38,0.46,7.66,16.5,9.5,122,6,white
0.072,0.99785,3.03,0.59,9.08,15.6,10.5,185,6,white
0.071,0.9971,2.96,0.58,9.01,10.2,9.2,184,6,white
0.047,0.9945,3.34,0.43,7.54,6.2,9.6,81,6,white
0.042,0.9958,3.26,0.56,8.16,7.2,9.8,131,6,white
0.046,0.9956,3.33,0.59,8.06,8.1,10.2,131,6,white
0.06,0.9963,3.72,0.69,8.33,1.7,10.5,76,6,white
0.035,0.99045,3.18,0.44,8.08,1.3,12.2,55,6,white
0.06,0.9963,3.72,0.69,8.33,1.7,10.5,76,6,white
0.03,0.9909,3.31,0.47,6.88,1.8,11.5,75,6,white
0.028,0.9939,3.36,0.61,5.48,6.5,9.9,130,6,white
0.029,0.99,3.24,0.5,7.42,1.7,12.1,87,6,white
0.021,0.9886,3.12,0.3,7.3,2.2,12.5,91,6,white
0.037,0.9926,3.19,0.7,8.36,1.2,10.1,60,6,white
0.03,0.9915,3.06,0.34,7.24,4,10.7,101,6,white
0.119,0.9921,3.19,0.38,7.24,1.6,10.2,71,6,white
0.126,0.9932,3.23,0.37,7.6,1.4,8.9,73,6,white
0.04,0.9953,3.19,0.48,10.4,1.9,9.9,112,6,white
0.022,0.9928,3.13,0.55,8.78,6,11.5,103,6,white
0.022,0.9928,3.13,0.55,8.78,6,11.5,103,6,white
0.035,0.9976,3.35,0.52,7.84,12.2,9.8,198,6,white
0.04,0.9918,3.19,0.51,8.44,1.6,11.4,134,6,white
0.04,0.9918,3.19,0.51,8.44,1.6,11.4,134,6,white
0.046,0.994,3.3,0.63,5.62,6.4,9.9,123,6,white
0.043,0.9918,3.23,0.53,6.76,1.1,10.3,50,6,white
0.047,0.9952,3.22,0.53,7.72,8.7,10.5,190,6,white
0.044,0.9923,3.08,0.46,8.1,1.6,10.5,75,6,white
0.039,0.9915,3.05,0.49,7.7,1.4,10.9,54,6,white
0.047,0.9952,3.22,0.53,7.72,8.5,10.5,190,6,white
0.046,0.9983,3.25,0.37,9.16,13.2,9.7,87,6,white
0.047,0.995,3.2,0.39,7.12,7.7,9.6,146,6,white
0.037,0.9919,2.93,0.33,8.94,1.6,11,101,6,white
0.031,0.99,3.06,0.39,8.16,1.4,11.9,80,6,white
0.036,0.9978,3.13,0.44,9.58,10.6,8.9,97,6,white
0.036,0.9978,3.13,0.44,9.58,10.6,8.9,97,6,white
0.044,0.9967,3.17,0.43,7.56,12.9,10,146,6,white
0.046,0.99685,3.18,0.41,7.58,12.5,10,145,6,white
0.044,0.9956,3.36,0.55,7.48,7.3,10,188,6,white
0.037,0.9971,3.25,0.53,7.76,11.75,9.5,151,6,white
0.035,0.9965,3.08,0.49,8.72,9.7,9.8,117,6,white
0.028,0.9928,3.23,0.55,7.5,1.4,10.1,85,6,white
0.035,0.9965,3.08,0.49,8.72,9.7,9.8,117,6,white
0.05,0.9983,3.03,0.42,8.46,15.4,9,136,6,white
0.05,0.9983,3.03,0.42,8.46,15.4,9,136,6,white
0.05,0.9983,3.03,0.42,8.46,15.4,9,136,6,white
0.023,0.9923,3.37,0.51,6.98,4,11.6,89,6,white
0.034,0.9972,3.28,0.43,6.84,12.5,9.5,116,6,white
0.041,0.9928,3.13,0.37,7.74,1.8,9.6,145,6,white
0.039,0.9994,3.24,0.42,7.94,17.5,9,115,6,white
0.039,0.9994,3.24,0.42,7.94,17.5,9,115,6,white
0.046,0.9925,3.32,0.9,8.12,1.8,11.7,100,6,white
0.058,0.9946,3.51,0.45,7.46,4.9,10.3,84,6,white
0.152,0.9927,3.12,0.46,7.8,1.5,9.8,46,6,white
0.027,0.9894,3.5,0.45,6.3,1.7,12.5,57,6,white
0.026,0.9907,3.41,0.45,7.1,4.2,11.9,56,6,white
0.05,0.9928,3.42,0.52,7.24,1.9,10.5,93,6,white
0.054,0.9941,3.12,0.48,8.56,5.3,10.3,117,6,white
0.053,0.9941,3.12,0.45,8.6,5.2,10.3,118,6,white
0.04,0.9932,2.95,0.39,9.68,3.4,10.2,102,6,white
0.04,0.9956,3.25,0.55,9.68,1.8,9.5,163,6,white
0.046,0.9927,3.05,0.45,9.02,1.6,10.5,127,6,white
0.062,0.9966,3.31,0.47,7.12,9.8,9.5,119,6,white
0.056,0.9997,3.05,0.5,9.08,17.45,9.2,141,6,white
0.045,0.9952,3.09,0.45,7.82,7.1,9.4,161,6,white
0.038,0.9911,3.34,0.55,7.04,3.3,11.3,113,6,white
0.044,0.993,3.42,0.64,7.52,3.3,10.8,73,6,white
0.038,0.9911,3.34,0.55,7.04,3.3,11.3,113,6,white
0.055,0.993,3.08,0.39,9.38,1.3,10.5,114,6,white
0.043,0.9932,3.11,0.75,8.8,1.4,10.3,84,6,white
0.057,0.9943,3.15,0.41,9.58,1.7,10.3,67,6,white
0.043,0.9932,3.11,0.75,8.8,1.4,10.3,84,6,white
0.045,0.9916,2.95,0.31,8.3,1.4,10.5,110,6,white
0.049,0.9946,3.21,0.62,9.1,1.5,9.5,133,6,white
0.06,0.9962,3.13,0.38,8.74,10.6,10.5,126,6,white
0.088,0.9928,3.51,0.7,8.96,2.8,12,162,6,white
0.039,0.993,3.38,0.51,7.42,1.6,9.7,85,6,white
0.042,0.993,3.32,0.51,7.76,1.6,10.2,93,6,white
0.054,0.9948,3.48,0.62,8.32,2.1,10.5,142,6,white
0.047,0.9955,3.35,0.62,7.46,7.6,10,187,6,white
0.055,0.9972,3.49,0.64,8.42,6.8,10.2,189.5,6,white
0.055,0.9972,3.49,0.64,8.42,6.8,10.2,189.5,6,white
0.04,0.9942,3.16,0.67,9.9,1.8,10.2,109,6,white
0.035,0.991,3.31,0.62,7.56,4.7,12.6,80,6,white
0.137,0.9932,3.03,0.39,8.94,1.1,9.2,71,6,white
0.06,0.9931,3.51,0.47,8.6,1.2,10.7,85,6,white
0.06,0.9931,3.51,0.47,8.6,1.2,10.7,85,6,white
0.072,0.9949,3.37,0.7,9.36,1.9,10.9,111,6,white
0.048,0.9942,3.08,0.45,8.02,5.5,9.1,110,6,white
0.031,0.9931,3.35,0.56,8.02,1.5,11,109,6,white
0.049,0.9974,3.17,0.5,8.2,12,9.3,159,6,white
0.048,0.9974,3.37,0.59,8.72,7.7,10.1,138,6,white
0.046,0.9952,3.29,0.53,7.56,6.2,10.1,198,6,white
0.038,0.995,3.28,0.38,7.34,5.8,9.4,103,6,white
0.038,0.995,3.28,0.38,7.34,5.8,9.4,103,6,white
0.048,0.9995,3.03,0.42,8.54,16.95,9.2,147,6,white
0.048,0.9995,3.03,0.42,8.54,16.95,9.2,147,6,white
0.049,1.0006,3.01,0.51,9.88,17.1,9.3,151,6,white
0.048,0.9982,3.05,0.47,8.32,14.5,8.9,143,6,white
0.069,0.9928,3.42,0.43,8.32,1.2,10.6,132,6,white
0.04,0.9956,3.32,0.37,7.58,8.8,10.2,95,6,white
0.039,0.9962,3.31,0.34,7.58,10.6,10.1,88,6,white
0.038,0.995,3.28,0.38,7.34,5.8,9.4,103,6,white
0.028,0.9908,3.27,0.43,7.48,2.8,11.8,62,6,white
0.04,0.9912,3.06,0.61,9.1,1.3,12.1,81,6,white
0.053,0.9983,3.52,0.44,7.62,12,9.9,122,6,white
0.051,0.998,3.54,0.45,7.55,12.4,9.2,72,6,white
0.047,0.9931,3.17,0.48,7.4,1.6,10.1,87,6,white
0.047,0.9974,3.2,0.46,8.3,13,9.2,149,6,white
0.048,0.9936,3.19,0.43,7.86,1.2,9.1,123,6,white
0.047,0.9944,3.2,0.52,8.04,4,9.7,104,6,white
0.048,0.9986,3.44,0.47,7.88,12.85,9.5,131,6,white
0.076,0.9921,3.14,0.46,9.48,1,10.6,40,6,white
0.025,0.9938,3.2,0.49,8.08,5.7,10.8,82,6,white
0.035,0.992,3.5,0.35,6.23,1.3,10.6,76,6,white
0.054,0.9998,3.16,0.38,8.98,16.85,9,112,6,white
0.054,0.9998,3.16,0.38,8.98,16.85,9,112,6,white
0.201,0.9942,3.27,0.38,6.76,4.1,9.4,116,6,white
0.054,0.9998,3.16,0.38,8.98,16.85,9,112,6,white
0.055,0.9945,3.29,0.8,8.46,1.3,9.6,103,6,white
0.054,0.9998,3.16,0.38,8.98,16.85,9,112,6,white
0.201,0.9942,3.27,0.38,6.76,4.1,9.4,116,6,white
0.057,0.9928,3.07,0.38,9.64,0.9,10.4,58,6,white
0.044,0.9938,3.22,0.62,8.72,1.4,10.6,91,6,white
0.055,0.9945,3.29,0.8,8.46,1.3,9.6,103,6,white
0.062,0.9966,3.38,0.5,9.06,4.5,9.9,95,6,white
0.036,0.9913,3.01,0.7,8.9,1.9,12.8,109,6,white
0.036,0.9986,3.41,0.5,8.24,12.7,10,165,6,white
0.042,0.9952,3.46,0.54,7.88,2,10.2,170,6,white
0.029,0.996,3.12,0.36,9.24,9.1,10.1,105,6,white
0.025,0.992,3.21,0.47,7.52,2.2,10.6,101,6,white
0.037,0.9932,3.13,0.33,8.12,1.4,9.9,98,6,white
0.036,0.9913,3.01,0.7,8.9,1.9,12.8,109,6,white
0.074,0.998,2.96,0.42,8.26,14.45,9.2,78,6,white
0.025,0.9964,3.33,0.6,7.38,8.3,9.6,180,6,white
0.038,0.9992,3.03,0.46,9.24,14.2,9.2,88,6,white
0.074,0.998,2.96,0.42,8.26,14.45,9.2,78,6,white
0.027,0.992,3.3,0.45,7.9,1.5,10.8,56,6,white
0.049,0.9917,3.48,0.44,5.98,1.5,10.7,87,6,white
0.049,0.9917,3.48,0.44,5.98,1.5,10.7,87,6,white
0.037,0.9986,2.94,0.35,8.44,15.55,8.8,110,6,white
0.031,0.9917,3.42,0.49,7.52,1.7,11.5,86,6,white
0.03,0.9907,3.23,0.47,9.38,1.5,12.5,95,6,white
0.042,0.9922,2.96,0.25,10.58,1,10.5,45,6,white
0.04,0.993,3.23,0.52,8.96,1.6,11.3,123,6,white
0.049,0.9917,3.48,0.44,5.98,1.5,10.7,87,6,white
0.033,0.9926,2.74,0.47,11.08,1.2,10.8,48,6,white
0.044,0.992,3.33,0.44,7.52,1.15,11,202,6,white
0.038,0.994,3.16,0.67,8.94,1.2,10,94,6,white
0.023,0.9902,3.14,0.53,8.18,3.4,12.7,68,6,white
0.047,0.9921,3.23,0.28,10.98,1.2,12.5,84,6,white
0.043,0.9986,3.06,0.41,8.48,13,8.7,192,6,white
0.037,0.9943,3.38,0.44,9.08,5.2,11,102,6,white
0.043,0.9937,3.42,0.5,8.84,1.3,10.1,108,6,white
0.023,0.9902,3.14,0.53,8.18,3.4,12.7,68,6,white
0.041,0.9954,3.45,0.43,8.74,1.8,9.2,134,6,white
0.046,0.992,3.25,0.4,8.3,1.1,11.3,55,6,white
0.047,0.9927,3.12,0.42,6.73,1.1,9.3,128,6,white
0.057,0.9959,3.81,0.57,7.52,1.8,10.3,75,6,white
0.046,0.9946,3.33,0.62,8.96,1.4,9.4,129,6,white
0.036,0.9948,3.28,0.35,7.28,6.7,10.2,135,6,white
0.034,0.9955,3.08,0.39,7.8,6.8,9,147,6,white
0.036,0.9951,3.06,0.36,7.38,6.8,9.3,181,6,white
0.037,0.9952,3.06,0.34,7.46,7.1,9.2,173,6,white
0.05,0.9946,3.32,0.64,9.04,1.5,9.4,125,6,white
0.046,0.9946,3.33,0.62,8.96,1.4,9.4,129,6,white
0.039,0.9944,2.92,0.46,11.1,1.45,9.5,145.5,6,white
0.048,0.9993,3.07,0.58,10.22,13.8,9.4,135,6,white
0.048,0.9993,3.07,0.58,10.22,13.8,9.4,135,6,white
0.064,0.9938,3.22,0.46,7.18,1.5,9.2,112,6,white
0.083,0.9942,3.33,0.37,8.2,4.9,10.8,123,6,white
0.025,0.9928,3.29,0.62,7.74,1.9,10.5,139,6,white
0.026,0.991,3.02,0.78,8.94,1.7,12.5,111,6,white
0.026,0.991,3.02,0.78,8.94,1.7,12.5,111,6,white
0.034,0.992,3.38,0.44,7.52,1.6,11.2,63,6,white
0.033,0.994,3.14,0.42,9.38,1.5,9.7,82,6,white
0.038,0.9966,3.04,0.56,8.6,9.2,9.7,137,6,white
0.037,0.993,3.5,0.54,7.14,1.1,10.3,65,6,white
0.038,0.9966,3.04,0.56,8.6,9.2,9.7,137,6,white
0.045,0.9942,3.32,0.44,8.92,5,10.9,101,6,white
0.04,0.9925,3.3,0.47,8.76,5.2,12.4,118,6,white
0.045,0.995,2.93,0.35,10.25,5.9,10.2,107,6,white
0.067,0.9958,3.3,0.33,8.62,6.4,9.6,173,6,white
0.035,0.9952,3.05,0.3,9.32,8.1,10.3,103,6,white
0.046,0.9948,3.02,0.45,10.86,1.6,10.4,108,6,white
0.049,0.9949,3.02,0.61,10.84,1.6,10.3,80,6,white
0.041,0.997,3.46,0.39,6.09,13.5,9.9,105,6,white
0.039,0.9927,3.23,0.5,7.2,3.75,10.7,79,6,white
0.04,0.9953,3.15,0.46,7.82,6.2,9.3,123,6,white
0.044,0.997,3.1,0.46,9.22,9.7,10,99,6,white
0.026,0.9932,3.04,0.39,8.93,2,11.2,150,6,white
0.044,0.9932,3.54,0.51,7.32,1.1,10.3,71,6,white
0.044,0.9914,3.04,0.74,8.82,1.5,12.8,108,6,white
0.028,0.991,3.23,0.43,8.9,4.6,13.2,97,6,white
0.037,0.992,3.54,0.56,6.32,0.9,10.1,124,6,white
0.043,0.9927,3.25,0.62,7.92,1.3,10.8,161,6,white
0.042,0.9958,3.12,0.36,8.38,6.8,9.2,135,6,white
0.047,0.9928,3.12,0.44,7.98,1.5,10.5,123,6,white
0.028,0.9902,3.37,0.38,6.6,1.2,11.7,68,6,white
0.058,0.9972,3.4,0.4,7.74,8.8,8.8,86,6,white
0.048,0.9918,3.21,0.34,10.48,1.2,12.4,81,6,white
0.047,0.995,3.65,0.72,6.6,2.3,10.1,129,6,white
0.033,0.9959,2.99,0.39,10.1,12.15,10.8,79,6,white
0.04,0.9922,3.27,0.33,8.16,0.8,10,71,6,white
0.033,0.9959,2.99,0.39,10.1,12.15,10.8,79,6,white
0.059,0.9984,3.51,0.47,7.72,12.4,9.8,129,6,white
0.047,0.995,3.65,0.72,6.6,2.3,10.1,129,6,white
0.05,1,3.32,0.59,8.56,15.4,8.9,136,6,white
0.039,0.9953,3.15,0.44,7.68,6.5,9.3,124,6,white
0.044,0.9951,3.52,0.37,6.96,5.7,10.5,102,6,white
0.037,0.9914,3.25,0.43,8.1,0.9,10.9,73,6,white
0.05,1,3.32,0.59,8.56,15.4,8.9,136,6,white
0.052,0.9941,3.25,0.4,8.94,1.9,10.4,93,6,white
0.044,0.998,2.87,0.68,12.26,8.2,9.5,144,6,white
0.044,0.998,2.87,0.68,12.26,8.2,9.5,144,6,white
0.047,0.9929,3.15,0.69,8.26,1.7,11.4,128,6,white
0.05,0.993,3.16,0.71,8.28,1.7,11.4,126,6,white
0.054,0.992,3.1,0.42,8.22,0.9,10.4,121,6,white
0.045,0.994,3.12,0.35,8.04,3.1,9.1,64,6,white
0.046,0.9923,3.24,0.33,8.94,1.3,10.5,77,6,white
0.047,0.993,3.23,0.7,8.06,1.6,11.4,128,6,white
0.034,0.99,3.28,0.51,8.1,2.8,13.4,70,6,white
0.037,0.9926,3.06,0.34,9.28,0.9,10,107,6,white
0.034,0.995,3.49,0.42,6.8,7.4,10.1,90,6,white
0.029,0.99,3.26,0.42,7.46,1.4,12.2,58,6,white
0.034,0.99,3.28,0.51,8.1,2.8,13.4,70,6,white
0.042,0.9946,3.31,0.42,6.57,4.6,9.3,82,6,white
0.035,0.9928,3.19,0.46,8.08,5.7,11.5,51,6,white
0.052,0.9979,3.17,0.52,8.6,12.6,9.3,165,6,white
0.033,0.993,2.91,0.78,8.04,3.6,11.4,62,6,white
0.04,0.9932,3.14,0.41,8.98,1.2,10.6,89,6,white
0.037,0.9934,3.31,0.4,8.26,5.9,11.6,58,6,white
0.035,0.9928,3.19,0.46,8.08,5.7,11.5,51,6,white
0.042,0.9944,3.14,0.41,9.66,7.1,10.8,102,6,white
0.037,0.9909,3.29,0.38,6.74,1.4,11.3,75,6,white
0.045,0.9934,3.36,0.6,7.58,1.3,10,112,6,white
0.047,0.9919,3.27,0.37,7.54,4.5,11.6,73,6,white
0.042,0.9944,3.14,0.41,9.66,7.1,10.8,102,6,white
0.052,0.991,3.25,0.35,8.22,0.9,11.4,102,6,white
0.045,0.99,3.05,0.34,8.62,1,12.7,106,6,white
0.031,0.9893,3.07,0.33,8.66,1.2,12.2,67,6,white
0.04,0.9914,3.24,0.4,8.34,5.3,12.2,91,6,white
0.033,0.9955,3.14,0.35,9.64,13,11.3,121,6,white
0.044,0.9924,3.25,0.42,10.18,4.45,12.2,97,6,white
0.063,0.9911,3.38,0.42,7.82,1.2,12.2,57,6,white
0.055,0.9917,3.23,0.47,8.7,1.2,11.2,132,6,white
0.055,0.9917,3.23,0.47,8.7,1.2,11.2,132,6,white
0.036,0.9932,3.2,0.27,8.26,6.6,11.5,123,6,white
0.033,0.9955,3.14,0.35,9.64,13,11.3,121,6,white
0.033,0.9955,3.14,0.35,9.64,13,11.3,121,6,white
0.063,0.9911,3.38,0.42,7.82,1.2,12.2,57,6,white
0.044,0.9924,3.25,0.42,10.18,4.45,12.2,97,6,white
0.044,0.991,3.31,0.41,9.02,2.7,12.2,102,6,white
0.048,0.9946,3.24,0.42,9.1,4.5,10.6,106,6,white
0.05,0.9928,3.28,0.4,10.32,3.6,12.4,99,6,white
0.048,0.9946,3.56,0.44,7.67,5.4,10.8,110,6,white
0.055,0.9917,3.23,0.47,8.7,1.2,11.2,132,6,white
0.051,0.9918,3.06,0.46,9.66,1.2,11,126,6,white
0.036,0.9932,3.2,0.27,8.26,6.6,11.5,123,6,white
0.033,0.9955,3.14,0.35,9.64,13,11.3,121,6,white
0.038,0.9938,3.21,0.48,8.38,5.9,10.8,89,6,white
0.05,0.9945,3.46,0.44,8.34,1.3,10.2,130,6,white
0.04,0.992,3.05,0.29,9.1,1.2,10.8,94,6,white
0.044,0.9927,2.99,0.28,8.82,4.6,11.5,120,6,white
0.056,0.9948,3.32,0.49,9,2,10.7,104,6,white
0.05,0.9945,3.46,0.44,8.34,1.3,10.2,130,6,white
0.048,0.9942,3.37,0.6,7.58,1.7,10.1,98,6,white
0.046,0.9952,3.62,0.81,8,2.4,10.4,130,6,white
0.034,0.9918,2.98,0.39,8.94,1.5,10.6,106,6,white
0.033,0.9932,3.3,0.7,7.48,0.9,9.4,34,6,white
0.054,1.0004,3.51,0.45,8.68,19.4,9.8,125,6,white
0.044,0.9972,3.18,0.54,8.5,13.3,9.5,156,6,white
0.03,0.9918,3.55,0.45,6.95,1.1,10.3,89,6,white
0.041,0.9914,3.16,0.42,9.22,1.8,12.5,63,6,white
0.043,0.9904,3.22,0.6,8.2,2.1,13,141,6,white
0.051,0.9954,3.1,0.52,9.48,8.1,11,154,6,white
0.044,0.996,3.22,0.64,9.8,7.5,10,101,6,white
0.06,0.9991,3.55,0.44,8.2,14.5,9.8,120,6,white
0.042,0.9934,3.02,0.51,10.74,3.2,11.2,111,6,white
0.031,0.9937,3.01,0.28,8.72,9.9,11.2,113,6,white
0.039,0.9926,3.14,0.77,8.59,1.3,10.5,102,6,white
0.037,0.9951,3.02,0.33,9.62,9.6,10.6,101,6,white
0.038,0.9952,3.02,0.33,9.66,9.3,10.6,111,6,white
0.035,0.9935,3.04,0.34,9.84,7.8,12,73,6,white
0.038,0.9939,3.05,0.37,9.68,1.7,10.1,129,6,white
0.044,0.998,3.34,0.49,9.48,9,10,154,6,white
0.042,0.9997,3.28,0.39,8,18.15,8.7,117,6,white
0.037,0.992,3.15,0.54,15.72,1.1,11.1,123,6,white
0.045,0.9954,3.04,0.55,9.44,7.7,11,147,6,white
0.037,0.992,3.15,0.54,8.92,1.1,11.1,123,6,white
0.042,0.9997,3.28,0.39,8,18.15,8.7,117,6,white
0.028,0.9936,3.24,0.54,8.8,5,10.8,75,6,white
0.044,0.9996,3.38,0.67,8.94,15.6,9,132,6,white
0.031,0.9932,3.03,0.4,9.78,1.5,10.3,105,6,white
0.04,0.9936,3.13,0.41,9.64,1,10,116,6,white
0.034,0.992,3.21,0.42,7.32,1,9.8,80,6,white
0.028,0.9936,3.24,0.54,8.8,5,10.8,75,6,white
0.044,0.9996,3.38,0.67,8.94,15.6,9,132,6,white
0.037,0.9924,3.23,0.57,8.5,1.3,10.6,77,6,white
0.038,0.9928,3.2,0.72,8.56,1.1,10.6,71,6,white
0.049,0.9952,3.18,0.47,9.12,5.2,10.6,119,6,white
0.034,0.9945,3.13,0.45,8.26,4.7,9.9,121,6,white
0.034,0.9945,3.12,0.45,8.28,4.8,9.9,122,6,white
0.025,0.9903,3.34,0.59,8.3,1.8,12.8,70,6,white
0.031,0.9932,3.03,0.4,9.78,1.5,10.3,105,6,white
